identifier,filename,title,format,description,contributor,coverage,creator,date,latitude,longitude,year,publisher,rights,subject
PC010199,https://archive.org/details/PC010199,"Alberta Hotel, Calgary, Alta.",image/jpeg,"Exterior view of Alberta Hotel, Calgary, Alberta. There are a couple of people standing on the corner. A fire escape is visible on the right side of the building.",,Canada; Alberta; Calgary,D.J. Young & Co.: Publisher,1907,,,1907,"Published by D.J. Young & Co. Ltd., Calgary",Public Domain,Hotels; Alberta Hotel (Calgary;  Alta.)
PC006002,https://archive.org/details/PC006002,"Fifteenth Light Horse, Calgary, Alta.",image/jpeg,"Scene of the Fifteenth Light Horse cavalry gathered in the plains around Calgary, Alberta.",,Canada; Alberta; Calgary,D.J.Y. & Co. Ltd.: Publisher,1907,,,1907,"D.J.Y. Co. Ltd., Calgary, Alta.",Public Domain,Group portraits; Cavalry; Horses
PC010270,https://archive.org/details/PC010270,"8th Avenue looking west, Calgary, Alta.",image/jpeg,"Street scene showing storefronts, pedestrians, and horse-drawn carriages.",,Canada; Alberta; Calgary,Royal Curio and News Co.: Publisher,1908,,,1908,"The Royal Curio and News Co., Calgary",Public Domain,Commercial streets; Stores & shops; Pedestrians
PC005683,https://archive.org/details/PC005683,"New General Hospital, Calgary, Alta.",image/jpeg,"Architect's sketch of the proposed new General Hospital. Hospital was build on Centre Avenue and Eighth Street NE. This was referred to as General Hospital III and was opened for public use on February 1, 1910",,Canada; Alberta; Calgary,Linton Bro.: Publisher,1908-06-18,,,1908,"Linton Bro., Calgary, Alta.",Public Domain,Hospitals; Calgary General Hospital
PC010309,https://archive.org/details/PC010309,"8th Avenue Looking West, Calgary, Alberta",image/jpeg,"View of Eighth Avenue Calgary, Alberta, showing a saddlery at front left and A. W. Ward's grocery store at right front across the street. A furniture store is next to the grocery, with a drug store further down the road.",,Canada; Alberta; Calgary,"The Valentine & Son Publishing Co., Ltd.",1908,,,1908,"The Valentine & Son's Publishing Co., Ltd., Montreal , Toronto, Winnipeg and Vancouver",Public Domain,Commercial streets; Stores & shops; Storefronts; Carts & wagons; Pedestrians
PC005740,https://archive.org/details/PC005740,"The Alexandra School, East Calgary",image/jpeg,"A hand-tinted photograph of the exterior front view of the Alexandra School, Calgary. A fence can be seen in the foreground. The image also shows three houses on the right hand side of the school.",,Canada; Alberta; Calgary,"Pearson, Stationer: Publisher",1909,,,1909,"Pearson, Stationer, Calgary",Public Domain,Schools; Alexandra School (Calgary;  Alta.)
PC005433,https://archive.org/details/PC005433,"Looking North-West from Grain Exchange, Calgary, Alta.",image/jpeg,"View looking north-west from the Grain Exchange Building. The wall of the building to the left (Leeson-Lineham Block) has been painted with an advertisement for Georgeson & Company Ltd. Wholesale Grocers featuring Tuxedo brands including coffee, baking powder, spices, jelly powder and extracts. The premises of MacKay and Dippie Furriers, Heintzman and Company Pianos can be seen directly across Eighth Avenue. The back of the Alberta Hotel Sample Rooms and the Thomas Block are also visible.",,Canada; Alberta; Calgary,Rumsey & Co.: Publisher,1910,,,1910,"Rumsey & Co., Toronto, Canada",Public Domain,Cityscapes; Grain Exchange Building (Calgary;  Alta.)
PC005665,https://archive.org/details/PC005665,"Public Library, Central Park, Calgary, Alta.",image/jpeg,"Front and right side view of the Carnegie Library in Calgary, now the Memorial Park Library. A Union Jack is flying over top of the library. The bandstand and the South African War memorial statue by Louis Hebert are visible in the background.",,Canada; Alberta; Calgary,Novelty Mfg. & Art Co.: Publisher,1910,,,1910,"Novelty Mfg. & Art Co., Limited, Montreal",Public Domain,Public libraries; Central Memorial Park (Calgary;  Alta.); Calgary Public Library
PC005407,https://archive.org/details/PC005407,"Looking north-west from Grain Exchange, Calgary, Alta.",image/jpeg,"Bird's eye view of the buildings north-west of the Grain Exchange in Calgary, Alberta.",,Canada; Alberta; Calgary,Progress Photo Co.: Publisher,1910,,,1910,Progress Photo Co.,For more information visit the University of Alberta Library digital collections rights page,Cityscapes; Grain industry
PC005418,https://archive.org/details/PC005418,8th Ave. Calgary (looking E),image/jpeg,"View of the activities along 8th Avenue in Calgary, Alberta including pedestrians.",,Canada; Alberta; Calgary,Dill: Publisher,1910-06-18,,,1910,Photo by Dill,Public Domain,Commercial streets; Stores & shops; Banks; City & town life; Bank of Montreal (Calgary;  Alta. : 1929- )
PC005436,https://archive.org/details/PC005436,"Eighth Ave looking west, Calgary, Alta.",image/jpeg,"View of the storefronts along 8th Avenue in Calgary, Alberta including pedestrians and a streetcar.",,Canada; Alberta; Calgary,Progress Photo Co.: Publisher,1910,,,1910,"Progress Photo Co., Calgary and Edmonton, Alta.",Public Domain,Commercial streets; Storefronts
PC005267,https://archive.org/details/PC005267,"Calgary, Alberta",image/jpeg,"Birds-eye view of a section of Calgary, Alberta with a river and farmland in the foreground.",,Canada; Alberta; Calgary,"Thompson, Stephen J.: Publisher",1910-06-18,,,1910,"Stephen J. Thompson, Publisher, Vancouver, B.C.",Public Domain,Cityscapes; Rivers
prairiepromisespostcard_27,https://archive.org/details/prairiepromisespostcard_27,"A DOG-ON-NICE-TOWN CALGARY, ALTA.",image/jpeg,B&w photograph manipulated to look as if an oversized dog is sitting on top of a building,University of Alberta Libraries,Canada; Alberta; Calgary,,1910,,,1910,,,Collages; Dogs; Streets
PC015629,https://archive.org/details/PC015629,A grand stand play - bull-dogging a steer. Stampede Calgary Alta. Can. 1912.,image/jpeg,A cowboy has just wrestled a steer to the ground and raises his arm in victory as the crowd looks on.,,Canada; Alberta; Calgary,Marcell: Photographer,1912,,,1912,,Public Domain,Rodeos; Cowboys; Cattle; Calgary Stampede (Alta.)
PC005300,https://archive.org/details/PC005300,"King George Hotel, Calgary, Alta.",image/jpeg,"View of the exterior of the King George Hotel in Calgary, Alberta.",,Canada; Alberta; Calgary,,1912-12-15,,,1912,,Public Domain,Hotels; King George Hotel (Calgary;  Alta.)
calgarystampedepostcard_31,https://archive.org/details/calgarystampedepostcard_31,"""A Sky Scraper""",image/jpeg,Man riding a light coloured bucking horse,University of Alberta Libraries,Canada; Alberta; Calgary,Marcell:Photographer,1912,,,1912,,,Horses; Cowboys; Rodeos; Broncos; Chaps
calgarystampedepostcard_48,https://archive.org/details/calgarystampedepostcard_48,The only Buffalo Team in the world,image/jpeg,Man in chariot pulled by two buffalo,University of Alberta Libraries,Canada; Alberta; Calgary,,1912,,,1912,,,Chariots; Buffaloes; Cowboys
PC005308,https://archive.org/details/PC005308,"Calgary, from Palliser Hotel",image/jpeg,"View of Calgary, Alberta through the windows of a sun room in the Palliser Hotel.",,Canada; Alberta; Calgary,Canadian Pacific Railways: Photographer,1914,,,1914,Canadian Pacific Railway,For more information visit the University of Alberta Library digital collections rights page,Hotels; Palliser Hotel (Calgary;  Alta.)
PC005872,https://archive.org/details/PC005872,"Public Library and South African Memorial, Calgary, Alberta.",image/jpeg,Hand-tinted photograph of the rear of the Memorial Park Library showing the South African Memorial monument in the foreground.,,Canada; Alberta; Calgary,Alberta News Ltd.: Publisher,1920,,,1920,"Alberta News Ltd., Calgary, Alberta.",Public Domain,Monuments & memorials; Public libraries; Parks; War memorials; Central Memorial Park (Calgary;  Alta.); Calgary Public Library
PC005904,https://archive.org/details/PC005904,"Memorial Park, Calgary, Alberta,",image/jpeg,Hand-tinted photograph of Central Park(Memorial Park) showing the gardens and pathways in the foreground. The South African War Memorial can be seen in the centre of the photograph.,,Canada; Alberta; Calgary,Photogelatine Engraving Co.: Publisher,1920,,,1920,"Photogelatine Engraving Co. Limited, Ottawa",Public Domain,Parks; Gardens; Monuments & memorials; Flowers; Central Memorial Park (Calgary;  Alta.)
PC006138,https://archive.org/details/PC006138,"Calgary Stampede Parade, Alberta, Canada",image/jpeg,"Birds eye view of the Calgary Stampede parade and spectators in Calgary, Alberta.",,Canada; Alberta; Calgary,Photogelatine Engraving Co.: Publisher,1920,,,1920,Photogelatine Engraving Co. Ltd. Toronto,Public Domain,Parades & processions; Streets; Calgary Stampede
PC005339,https://archive.org/details/PC005339,"Palliser Hotel, Calgary, Alta.",image/jpeg,"Architects sketch of Palliser Hotel, Calgary, Alberta.",,Canada; Alberta; Calgary,Novelty Mfg. & Art Co.: Publisher,1920,,,1920,"Novelty Mfg. & Art Co. Ltd., Montreal",Public Domain,Hotels; Palliser Hotel (Calgary;  Alta.)
PC005803,https://archive.org/details/PC005803,Calgary Canada,image/jpeg,Bird's eye view of Calgary looking south. Centre street bridge is visible in the foreground. Robin Hood Flour mill can be seen on the right hand side and the Palliser Hotel on the left hand side.,,Canada; Alberta; Calgary,McDermid Photo Laboratories: Publisher,1920-06-18,,,1920,"McDermid Photo Laboratories, Calgary, Canada",Public Domain,Cityscapes; Business districts; Office buildings; Bridges; Rivers; Centre Street Bridge (Calgary;  Alta.)
PC006317,https://archive.org/details/PC006317,Calgary Stampede,image/jpeg,"A cowboy ropes a calf, catching it by the hind leg, in the calf roping event at the Calgary Stampede.",,Canada; Alberta; Calgary,Rosettis Studio: Photographer,1930,,,1930,Rosettis Studio,Public Domain,Rodeos; Cowboys; Calf roping; Calgary Stampede
PC006093,https://archive.org/details/PC006093,Horse racing. Victoria Park. Calgary.,image/jpeg,"View of harness racers are shown in action, with spectators.",,Canada; Alberta; Calgary,"Pearson, Stationer: Publisher",1930-07-27,,,1930,"Pearson, Stationer, Calgary",Public Domain,Horse racing; Racetracks (Horse racing)
PC005527,https://archive.org/details/PC005527,"Pyrce Jones Department Store, Calgary, Alta.",image/jpeg,"Framed exterior view of the Pryce Jones Department Store in Calgary, Alberta.",,Canada; Alberta; Calgary,"Osborne, F.E.: Publisher",1931,,,1931,"F.E. Osborne, Calgary, Alta.",Public Domain,Department stores
PC005345,https://archive.org/details/PC005345,"C.P.R. depot and Palliser Hotel, Calgary, Alberta.",image/jpeg,"Street scene of Canadian Pacific Railway Station and east side view of the Palliser Hotel, with automobiles parked in front of them, looking west on 9th Avenue South East.",,Canada; Alberta; Calgary,Gowen Sutton Co. Ltd.: Publisher,1932,,,1932,"Made in Canada by Gowen Sutton Co. Ltd., Vancouver, B.C.",Public Domain,Railroad stations; Hotels; Automobiles
PC010231,https://archive.org/details/PC010231,"Center Street Bridge, Calgary, Alberta",image/jpeg,Hand-tinted photograph view of Centre Street Bridge and downtown Calgary taken from north hill by the Bow River facing southwest.,,Canada; Alberta; Calgary,Gowen Sutton Co. Ltd.: Publisher,1940,,,1940,"Made in Canada by Gowen Sutton Co. Ltd., Vancouver, B.C",Public Domain,Cityscapes; Rivers; Bridges; Business districts; Centre Street Bridge (Calgary;  Alta.); Bow River (Alta.)
PC005368,https://archive.org/details/PC005368,"9th Avenue and Palliser Hotel, Calgary, Alberta",image/jpeg,"View of the Palliser Hotel in Calgary, Alberta along with the surrounding buildings.",,Canada; Alberta; Calgary,Gowen Sutton Co. Ltd.: Publisher,1940,,,1940,"Made in Canada by Gowen Sutton Co. Ltd., Vancouver, B.C",Public Domain,Cityscapes; Office buildings; Parking lots
PC010127,https://archive.org/details/PC010127,"Calgary, Canada.",image/jpeg,Bird's eye view of Calgary looking south. Centre street bridge is visible in the foreground. Robin Hood Flour mill can be seen on the right hand side and the Palliser Hotel on the left hand side.,,Canada; Alberta; Calgary,McDermid Photo Laboratories: Publisher,1940-01-12,,,1940,"Photo Made by the McDermid Photo Laboratories, Calgary",For more information visit the University of Alberta Library digital collections rights page,Cityscapes; Cities & towns; Bridges; Rivers; Business districts; Centre Street Bridge (Calgary;  Alta.)
PC010278,https://archive.org/details/PC010278,"[Sunshine Camp, Calgary]",image/jpeg,"Sunshine Auto Camp, Calgary, Alberta.",,Canada; Alberta; Calgary,,1940-01-12,,,1940,,For more information visit the University of Alberta Library digital collections rights page,Tourist camps & hostels; Camps; Tents; Parks; Sunshine Auto Camp (Calgary;  Alta.)
PC011983,https://archive.org/details/PC011983,"Sunshine Auto Camp, Calgary, Alta.",image/jpeg,"Sunshine Auto Camp, Calgary, Alberta with Victoria Park in the background.",,Canada; Alberta; Calgary,,1940,,,1940,,Public Domain,Camps; Tourist camps & hostels; Camping; Parks; Sunshine Auto Camp (Calgary;  Alta.)
PC005266,https://archive.org/details/PC005266,"Calgary, Alberta",image/jpeg,"Birds-eye view of Calgary, Alberta.",,Canada; Alberta; Calgary,Gowen Sutton Co. Ltd.: Publisher,1940,,,1940,"Gowen Sutton Co. Ltd., Vancouver, B.C.",Public Domain,Cityscapes
prairiepromisespostcard_12,https://archive.org/details/prairiepromisespostcard_12,There's a Girl in CALGARY That's Got Me Going,image/jpeg,Illustrated flag is inlaid by a circular b&w photograph of a couple embracing,University of Alberta Libraries,Canada; Alberta; Calgary,,,,,,,For more information visit the University of Alberta Library digital collections rights page,Cities & towns; Couples; Pennants; Courtship; Tourism
PC012025,https://archive.org/details/PC012025,"R. Holgate, Calgary, Steer Decorating.",image/jpeg,Scene of a man who has jumped off his horse in order to grab a steer by the horns at the Calgary Stampede.,,Canada; Alberta; Calgary,,,,,,,For more information visit the University of Alberta Library digital collections rights page,Rodeos; Cowboys; Steer wrestling; Horseback riding; Calgary Stampede
PC016445,https://archive.org/details/PC016445,"Palliser Hotel, Calgary",image/jpeg,,,Canada; Alberta; Calgary,,,,,,,For more information visit the University of Alberta Library digital collections rights page,
postcards_2,https://archive.org/details/postcards_2,"Central School, Calgary, Alta",image/jpeg,"View of Central School in Calgary, Alberta including the surrounding grounds",University of Alberta Libraries,Canada; Alberta; Calgary,:,,,,,,For more information visit the University of Alberta Library digital collections rights page,Schools; Central School (Calgary;  Alta.); James Short School (Calgary;  Alta.); Canada--Alberta--Calgary
prairiechurchespostcards_48,https://archive.org/details/prairiechurchespostcards_48,Baptist & Methodist Churches,image/jpeg,"Two churches along a street, the closer one with two large steeples, the other with a square belltower",University of Alberta Libraries,Canada; Alberta; Calgary,,,,,,,For more information visit the University of Alberta Library digital collections rights page,Baptist churches; Methodist churches
PC003154,https://archive.org/details/PC003154,"[Fishermen in Camrose, Alberta]",image/jpeg,View of four fishermen with catch of fish displayed.,,Canada; Alberta; Camrose,,1911,,,1911,,Public Domain,Fishing; Fishermen
PC005996,https://archive.org/details/PC005996,"C.H.S. grade XI, Camrose, 1921",image/jpeg,"Group portrait of high school students on the front steps of what appears to be the Camrose High School building in Camrose, Alberta.",,Canada; Alberta; Camrose,Hedger Studio: Photographer,1921,,,1921,Hedger Studio,Public Domain,Group portraits; Students
PC003173,https://archive.org/details/PC003173,Cardston Temple,image/jpeg,"Exterior view of the Alberta Temple, located in the town of Cardston, Alberta.",,Canada; Alberta; Cardston,,1930-06-18,,,1930,,Public Domain,Mormon churches; Bas-reliefs; Alberta Temple (Cardston;  Alta.)
PC003244,https://archive.org/details/PC003244,"Seeding & discing on the new dominion farm. Carlstadt, Alta",image/jpeg,"Tractor pulling three seed drills in the Carlstadt, Alberta.",,Canada; Alberta; Carlstadt,Coffey: Photographer,1912,,,1912,"Coffey, Photo.",Public Domain,Agricultural machinery & implements; Farming; Tractors; Plowing
PC003257,https://archive.org/details/PC003257,[Ox-drawn wagon],image/jpeg,View of a wagon loaded with people.,,Canada; Alberta; Castor,,1910-06-18,,,1910,,Public Domain,Carts & wagons; Oxen; Men; Women; Children
PC012054,https://archive.org/details/PC012054,"Presbyterian church, Castor, Alta.",image/jpeg,"Presbyterian church, Castor, Alberta.",,Canada; Alberta; Castor,,1910,,,1910,,Public Domain,Presbyterian churches
PC003332,https://archive.org/details/PC003332,There's nothing half so sweet in life as loves young dream at Coleman,image/jpeg,A portrait of a man and woman kissing on a bench.,,Canada; Alberta; Coleman,,1910,,,1910,,Public Domain,Portraits; Men; Women; Romances
PC003526,https://archive.org/details/PC003526,"Drumheller Rotary swimming pool - Drumheller, Alta.",image/jpeg,View of an outdoor swimming pool. Several people are in the pool and others are waiting on the deck and diving board.,,Canada; Alberta; Drumheller,Vogue Studio: Publisher,1945-01-11,,,1945,"Vogue Studio, [Drumheller, Alberta]",For more information visit the University of Alberta Library digital collections rights page,Swimming pools; Sports & recreation facilities; Rotary swimming pool (Drumheller;  Alta.)
PC027241,https://archive.org/details/PC027241,"Alberta College, Edmonton, Alta.",image/jpeg,,,Canada; Alberta; Edmonton,,1906,,,1906,,Public Domain,
PC006803,https://archive.org/details/PC006803,Edmonton and river from Dowler's Hill.,image/jpeg,Bird's eye view of Edmonton River Valley and North Saskatchewan River from Dowler's Hill.,,Canada; Alberta; Edmonton,,1908,,,1908,,Public Domain,Cityscapes; Rivers; Valleys; Commercial facilities; North Saskatchewan River (Alta. and Sask.)
